datetime_hour;Tarbimine;elering_forecast;consumption_hourly;viga;viga_protsent;viga_vs_elering_forecast;viga_vs_elering_forecast_protsent;viga_actual_vs_elering_forecast;viga_actual_vs_elering_forecast_protsent;Ajatempel (UTC)
2025-09-20 00:00:00;686.1;672.375;611.0461494790037;-75.05385052099632;-10.939199901034298;-61.3288505209963;-9.121227071351;13.725000000000023;2.0412716118237624;1758326400
2025-09-20 01:00:00;682.6;675.525;608.6927242215169;-73.90727577848315;-10.82731845568168;-66.83227577848311;-9.893383039633338;7.0750000000000455;1.047333555382857;1758330000
2025-09-20 02:00:00;685.8;707.3;614.248621481103;-71.55137851889697;-10.43327187502143;-93.05137851889697;-13.155857276812805;-21.5;-3.0397285451717804;1758333600
2025-09-20 03:00:00;713.4;718.475;638.1596710824099;-75.24032891759009;-10.546723986205507;-80.31532891759014;-11.178583655324143;-5.0750000000000455;-0.706357214934416;1758337200
2025-09-20 04:00:00;750.3;737.5;698.9926128287747;-51.30738717122529;-6.838249656300852;-38.50738717122533;-5.221340633386486;12.799999999999955;1.7355932203389768;1758340800
2025-09-20 05:00:00;811.7;796.275;745.2228402036283;-66.47715979637178;-8.189868152811602;-51.05215979637171;-6.411372929750615;15.425000000000068;1.9371448306175716;1758344400
2025-09-20 06:00:00;915.2;843.475;793.3753616511112;-121.82463834888881;-13.311258560848863;-50.09963834888879;-5.939670808131691;71.72500000000002;8.503512255846353;1758348000
2025-09-20 07:00:00;972.4;873.125;805.6165430750382;-166.7834569249618;-17.151733538149095;-67.50845692496182;-7.731820406581168;99.27499999999998;11.370078740157478;1758351600
2025-09-20 08:00:00;997.2;924.05;832.3039506195416;-164.8960493804584;-16.535905473371283;-91.74604938045832;-9.9286888567132;73.15000000000009;7.916238298793366;1758355200
2025-09-20 09:00:00;1000.8;943.15;858.3704477619846;-142.4295522380154;-14.231569967827278;-84.77955223801541;-8.988978660660067;57.64999999999998;6.1124953612892945;1758358800
2025-09-20 10:00:00;983.8;904.625;862.5795357169558;-121.22046428304418;-12.321657276178511;-42.045464283044225;-4.647833553466267;79.17499999999995;8.752245405554783;1758362400
2025-09-20 11:00:00;971.7;903.375;849.136658295856;-122.56334170414402;-12.613290285493878;-54.23834170414398;-6.003967533321597;68.32500000000005;7.5633042756330475;1758366000
