datetime_hour;Ajatempel (UTC);Tarbimine;consumption_hourly;elering_forecast;our_day;src
2025-09-22 22:00:00;1758578400;706.1;703.0038746072155;;2025-09-22;forecast_consumption_hourly_next7_tallinn_20250923_20250929.csv
2025-09-22 23:00:00;1758582000;671.1;681.5650915745906;;2025-09-22;forecast_consumption_hourly_next7_tallinn_20250923_20250929.csv
2025-09-23 00:00:00;1758585600;661.2;672.9703270272572;;2025-09-22;forecast_consumption_hourly_next7_tallinn_20250923_20250929.csv
2025-09-23 01:00:00;1758589200;660.7;678.1625436602318;;2025-09-22;forecast_consumption_hourly_next7_tallinn_20250923_20250929.csv
2025-09-23 02:00:00;1758592800;706.5;710.4775577021479;;2025-09-22;forecast_consumption_hourly_next7_tallinn_20250923_20250929.csv
2025-09-23 03:00:00;1758596400;802.9;810.2349264578994;;2025-09-22;forecast_consumption_hourly_next7_tallinn_20250923_20250929.csv
2025-09-23 04:00:00;1758600000;975.4;937.1509411863278;;2025-09-22;forecast_consumption_hourly_next7_tallinn_20250923_20250929.csv
2025-09-23 05:00:00;1758603600;1021.0;1023.6202518811444;;2025-09-22;forecast_consumption_hourly_next7_tallinn_20250923_20250929.csv
2025-09-23 06:00:00;1758607200;933.5;1041.8319214647058;;2025-09-22;forecast_consumption_hourly_next7_tallinn_20250923_20250929.csv
2025-09-23 07:00:00;1758610800;877.9;1034.115729763961;;2025-09-22;forecast_consumption_hourly_next7_tallinn_20250923_20250929.csv
2025-09-23 08:00:00;1758614400;854.7;1043.5768649877805;;2025-09-22;forecast_consumption_hourly_next7_tallinn_20250923_20250929.csv
2025-09-23 09:00:00;1758618000;864.3;1051.1819333337894;;2025-09-22;forecast_consumption_hourly_next7_tallinn_20250923_20250929.csv
2025-09-23 10:00:00;1758621600;908.5;1068.2609379766482;;2025-09-22;forecast_consumption_hourly_next7_tallinn_20250923_20250929.csv
2025-09-23 11:00:00;1758625200;876.6;1037.9956751035677;;2025-09-22;forecast_consumption_hourly_next7_tallinn_20250923_20250929.csv
